date,np
1970-03-01,1007.91
1970-04-01,1017.11
1970-05-01,1016.85
1970-06-01,1014.65
1970-07-01,1016.1
1970-08-01,1016.81
1970-09-01,1014.34
1970-10-01,1014.48
1970-11-01,1014.31
1970-12-01,1011.85
1971-01-01,1012.4
1971-02-01,1007.64
1971-03-01,1011.21
1971-04-01,1014.75
1971-05-01,1014.25
1971-06-01,1014.46
1971-07-01,1016.26
1971-08-01,1015.26
1971-09-01,1015.27
1971-10-01,1015.2
1971-11-01,1011.73
1971-12-01,1014.19
1972-01-01,1012.72
1972-02-01,1010.69
1972-03-01,1009.85
1972-04-01,1019.8
1972-05-01,1014.76
1972-06-01,1015.53
1972-07-01,1017.95
1972-08-01,1014.64
1972-09-01,1014.78
1972-10-01,1014.9
1972-11-01,1009.7
1972-12-01,1010.73
1973-01-01,1008.32
1973-02-01,1008.21
1973-03-01,1010.61
1973-04-01,1016.76
1973-05-01,1014.43
1973-06-01,1015.1
1973-07-01,1017.62
1973-08-01,1017.82
1973-09-01,1014.26
1973-10-01,1014.8
1973-11-01,1014.83
1973-12-01,1005.32
1974-01-01,1006.61
1974-02-01,1011.16
1974-03-01,1007.38
1974-04-01,1014.53
1974-05-01,1015.46
1974-06-01,1015.98
1974-07-01,1017.06
1974-08-01,1014.59
1974-09-01,1014.35
1974-10-01,1010.74
1974-11-01,1010.51
1974-12-01,1006.12
1975-01-01,1010.94
1975-02-01,1008.16
1975-03-01,1014.4
1975-04-01,1018.88
1975-05-01,1014.54
1975-06-01,1016.58
1975-07-01,1015.8
1975-08-01,1017.49
1975-09-01,1016.45
1975-10-01,1013.76
1975-11-01,1012.44
1975-12-01,1007.02
1976-01-01,1004.08
1976-02-01,1013.13
1976-03-01,1013.8
1976-04-01,1015.31
1976-05-01,1014.5
1976-06-01,1015.76
1976-07-01,1015.07
1976-08-01,1015.43
1976-09-01,1011.75
1976-10-01,1012.2
1976-11-01,1007.68
1976-12-01,1005.06
1977-01-01,999.02
1977-02-01,1001.18
1977-03-01,1016.83
1977-04-01,1016.83
1977-05-01,1015.61
1977-06-01,1015.16
1977-07-01,1017.82
1977-08-01,1014.03
1977-09-01,1016.62
1977-10-01,1011.43
1977-11-01,1012.48
1977-12-01,1010.0
1978-01-01,1000.57
1978-02-01,1000.56
1978-03-01,1008.85
1978-04-01,1013.99
1978-05-01,1017.65
1978-06-01,1018.11
1978-07-01,1017.46
1978-08-01,1015.19
1978-09-01,1013.89
1978-10-01,1012.25
1978-11-01,1011.24
1978-12-01,1012.85
1979-01-01,1006.27
1979-02-01,1014.25
1979-03-01,1008.15
1979-04-01,1015.65
1979-05-01,1013.37
1979-06-01,1018.9
1979-07-01,1016.9
1979-08-01,1014.24
1979-09-01,1012.3
1979-10-01,1008.8
1979-11-01,1012.46
1979-12-01,1008.99
1980-01-01,1006.58
1980-02-01,999.87
1980-03-01,1010.53
1980-04-01,1011.33
1980-05-01,1014.53
1980-06-01,1018.83
1980-07-01,1017.14
1980-08-01,1018.32
1980-09-01,1014.71
1980-10-01,1010.47
1980-11-01,1007.71
1980-12-01,1005.7
1981-01-01,996.44
1981-02-01,1005.35
1981-03-01,1006.99
1981-04-01,1014.89
1981-05-01,1013.15
1981-06-01,1014.9
1981-07-01,1019.23
1981-08-01,1015.37
1981-09-01,1014.53
1981-10-01,1014.26
1981-11-01,1008.77
