date,noi
1971-04-01,2.526
1971-05-01,2.057
1971-06-01,0.491
1971-07-01,1.12
1971-08-01,-0.427
1971-09-01,0.79
1971-10-01,3.652
1971-11-01,3.086
1971-12-01,2.492
1972-01-01,4.455
1972-02-01,1.071
1972-03-01,1.899
1972-04-01,-0.093
1972-05-01,-1.278
1972-06-01,-1.259
1972-07-01,-1.687
1972-08-01,-1.633
1972-09-01,-0.636
1972-10-01,-2.359
1972-11-01,-1.25
1972-12-01,-0.2
1973-01-01,-2.303
1973-02-01,-8.273
1973-03-01,2.683
1973-04-01,3.538
1973-05-01,0.334
1973-06-01,1.967
1973-07-01,0.96
1973-08-01,2.282
1973-09-01,0.876
1973-10-01,1.553
1973-11-01,0.726
1973-12-01,0.595
1974-01-01,0.56
1974-02-01,5.932
1974-03-01,-1.769
1974-04-01,3.414
1974-05-01,2.223
1974-06-01,0.209
1974-07-01,0.3
1974-08-01,0.759
1974-09-01,-0.324
1974-10-01,2.549
1974-11-01,1.337
1974-12-01,4.283
1975-01-01,4.746
1975-02-01,-0.692
1975-03-01,-0.405
1975-04-01,3.509
1975-05-01,0.864
1975-06-01,1.392
1975-07-01,0.624
1975-08-01,3.053
1975-09-01,2.615
1975-10-01,2.151
1975-11-01,3.264
1975-12-01,4.765
1976-01-01,5.938
1976-02-01,2.33
1976-03-01,4.956
1976-04-01,-1.774
1976-05-01,0.244
1976-06-01,-0.622
1976-07-01,-1.251
1976-08-01,-0.653
1976-09-01,-1.777
1976-10-01,0.778
1976-11-01,0.032
1976-12-01,0.625
1977-01-01,0.306
1977-02-01,4.662
1977-03-01,4.331
1977-04-01,0.704
1977-05-01,-1.105
1977-06-01,0.206
1977-07-01,1.129
1977-08-01,-2.197
1977-09-01,-1.923
1977-10-01,-0.706
1977-11-01,0.418
1977-12-01,-6.57
1978-01-01,-7.837
1978-02-01,-6.265
1978-03-01,-5.78
1978-04-01,-2.177
1978-05-01,3.151
1978-06-01,2.891
1978-07-01,2.047
1978-08-01,1.419
1978-09-01,1.318
1978-10-01,0.83
1978-11-01,0.989
1978-12-01,1.565
1979-01-01,-3.011
1979-02-01,0.203
1979-03-01,-2.035
1979-04-01,-0.973
1979-05-01,-0.271
1979-06-01,2.218
1979-07-01,-2.333
1979-08-01,-1.179
1979-09-01,-1.069
1979-10-01,-3.067
1979-11-01,-1.94
1979-12-01,-3.921
1980-01-01,-5.111
1980-02-01,-8.808
1980-03-01,1.919
1980-04-01,-0.811
1980-05-01,0.384
1980-06-01,1.308
1980-07-01,-0.727
1980-08-01,-0.748
1980-09-01,-1.227
1980-10-01,0.112
1980-11-01,2.172
1980-12-01,-1.494
1981-01-01,-5.093
1981-02-01,-0.531
1981-03-01,-2.467
1981-04-01,1.342
1981-05-01,0.728
1981-06-01,0.874
1981-07-01,1.091
1981-08-01,-0.833
1981-09-01,1.382
1981-10-01,-0.931
1981-11-01,-2.93
1981-12-01,-1.241
1982-01-01,1.537
1982-02-01,-0.756
1982-03-01,-4.487
1982-04-01,-2.286
1982-05-01,-0.294
1982-06-01,-3.193
1982-07-01,-0.65
1982-08-01,-0.735
1982-09-01,-1.199
1982-10-01,-2.823
1982-11-01,-5.642
1982-12-01,-3.853
1983-01-01,-8.411
1983-02-01,-12.164
1983-03-01,-11.385
1983-04-01,-5.171
1983-05-01,-0.328
1983-06-01,0.351
1983-07-01,0.501
1983-08-01,-0.987
1983-09-01,-0.596
1983-10-01,-0.867
1983-11-01,-3.758
1983-12-01,-4.06
1984-01-01,4.257
1984-02-01,2.995
1984-03-01,1.301
1984-04-01,1.688
1984-05-01,1.318
1984-06-01,1.482
1984-07-01,-1.165
1984-08-01,1.063
1984-09-01,0.632
1984-10-01,1.62
1984-11-01,-2.479
1984-12-01,-0.324
1985-01-01,0.568
1985-02-01,6.115
1985-03-01,4.007
1985-04-01,1.571
1985-05-01,0.973
1985-06-01,-1.071
1985-07-01,-1.102
1985-08-01,0.499
1985-09-01,0.844
1985-10-01,0.881
1985-11-01,-0.695
1985-12-01,-0.512
1986-01-01,-3.013
1986-02-01,-5.391
1986-03-01,-2.448
1986-04-01,2.399
1986-05-01,-1.489
1986-06-01,-0.069
1986-07-01,2.059
1986-08-01,0.026
1986-09-01,0.22
1986-10-01,-1.132
1986-11-01,2.168
1986-12-01,-3.139
1987-01-01,0.291
1987-02-01,-1.989
1987-03-01,-5.518
1987-04-01,-2.083
1987-05-01,-1.593
1987-06-01,-1.093
1987-07-01,-3.163
1987-08-01,-2.171
1987-09-01,0.138
1987-10-01,-3.031
1987-11-01,0.566
1987-12-01,-0.861
1988-01-01,0.3
1988-02-01,2.772
1988-03-01,7.241
1988-04-01,-3.226
1988-05-01,1.243
1988-06-01,-0.313
1988-07-01,0.16
1988-08-01,-1.831
1988-09-01,2.046
1988-10-01,0.531
