date,amon.sm
1971-06-01,-0.241
1971-07-01,-0.243
1971-08-01,-0.244
1971-09-01,-0.245
1971-10-01,-0.248
1971-11-01,-0.251
1971-12-01,-0.255
1972-01-01,-0.259
1972-02-01,-0.262
1972-03-01,-0.264
1972-04-01,-0.266
1972-05-01,-0.267
1972-06-01,-0.267
1972-07-01,-0.265
1972-08-01,-0.265
1972-09-01,-0.265
1972-10-01,-0.266
1972-11-01,-0.267
1972-12-01,-0.266
1973-01-01,-0.266
1973-02-01,-0.265
1973-03-01,-0.265
1973-04-01,-0.265
1973-05-01,-0.265
1973-06-01,-0.267
1973-07-01,-0.267
1973-08-01,-0.267
1973-09-01,-0.267
1973-10-01,-0.267
1973-11-01,-0.267
1973-12-01,-0.268
1974-01-01,-0.269
1974-02-01,-0.269
1974-03-01,-0.272
1974-04-01,-0.276
1974-05-01,-0.278
1974-06-01,-0.278
1974-07-01,-0.279
1974-08-01,-0.281
1974-09-01,-0.281
1974-10-01,-0.281
1974-11-01,-0.28
1974-12-01,-0.28
1975-01-01,-0.279
1975-02-01,-0.28
1975-03-01,-0.281
1975-04-01,-0.281
1975-05-01,-0.28
1975-06-01,-0.279
1975-07-01,-0.277
1975-08-01,-0.275
1975-09-01,-0.274
1975-10-01,-0.273
1975-11-01,-0.273
1975-12-01,-0.273
1976-01-01,-0.273
1976-02-01,-0.272
1976-03-01,-0.27
1976-04-01,-0.268
1976-05-01,-0.265
1976-06-01,-0.263
1976-07-01,-0.261
1976-08-01,-0.259
1976-09-01,-0.255
1976-10-01,-0.254
1976-11-01,-0.253
1976-12-01,-0.251
1977-01-01,-0.249
1977-02-01,-0.247
1977-03-01,-0.245
1977-04-01,-0.242
1977-05-01,-0.241
1977-06-01,-0.239
1977-07-01,-0.237
1977-08-01,-0.236
1977-09-01,-0.235
1977-10-01,-0.236
1977-11-01,-0.237
1977-12-01,-0.238
1978-01-01,-0.237
1978-02-01,-0.235
1978-03-01,-0.231
1978-04-01,-0.228
1978-05-01,-0.226
1978-06-01,-0.225
1978-07-01,-0.224
1978-08-01,-0.224
1978-09-01,-0.225
1978-10-01,-0.225
1978-11-01,-0.225
1978-12-01,-0.223
1979-01-01,-0.222
1979-02-01,-0.22
1979-03-01,-0.219
1979-04-01,-0.217
1979-05-01,-0.214
1979-06-01,-0.212
1979-07-01,-0.211
1979-08-01,-0.208
1979-09-01,-0.206
1979-10-01,-0.205
1979-11-01,-0.204
1979-12-01,-0.203
1980-01-01,-0.203
1980-02-01,-0.203
1980-03-01,-0.203
1980-04-01,-0.204
1980-05-01,-0.204
1980-06-01,-0.202
1980-07-01,-0.201
1980-08-01,-0.201
1980-09-01,-0.201
1980-10-01,-0.2
1980-11-01,-0.2
1980-12-01,-0.2
1981-01-01,-0.2
1981-02-01,-0.199
1981-03-01,-0.198
1981-04-01,-0.196
1981-05-01,-0.195
1981-06-01,-0.193
1981-07-01,-0.191
1981-08-01,-0.19
1981-09-01,-0.191
1981-10-01,-0.192
1981-11-01,-0.193
1981-12-01,-0.192
1982-01-01,-0.191
1982-02-01,-0.189
1982-03-01,-0.187
1982-04-01,-0.185
1982-05-01,-0.183
1982-06-01,-0.18
1982-07-01,-0.176
1982-08-01,-0.173
1982-09-01,-0.17
1982-10-01,-0.168
1982-11-01,-0.167
1982-12-01,-0.165
1983-01-01,-0.164
1983-02-01,-0.164
1983-03-01,-0.163
1983-04-01,-0.161
1983-05-01,-0.158
1983-06-01,-0.155
1983-07-01,-0.151
1983-08-01,-0.149
1983-09-01,-0.148
1983-10-01,-0.148
1983-11-01,-0.147
1983-12-01,-0.148
1984-01-01,-0.148
1984-02-01,-0.148
1984-03-01,-0.149
1984-04-01,-0.149
1984-05-01,-0.148
1984-06-01,-0.147
1984-07-01,-0.145
1984-08-01,-0.143
1984-09-01,-0.143
1984-10-01,-0.143
1984-11-01,-0.144
1984-12-01,-0.144
1985-01-01,-0.146
1985-02-01,-0.148
1985-03-01,-0.148
1985-04-01,-0.148
1985-05-01,-0.149
1985-06-01,-0.15
1985-07-01,-0.151
1985-08-01,-0.151
1985-09-01,-0.15
1985-10-01,-0.149
1985-11-01,-0.149
1985-12-01,-0.148
1986-01-01,-0.147
1986-02-01,-0.147
1986-03-01,-0.146
1986-04-01,-0.147
1986-05-01,-0.148
1986-06-01,-0.148
1986-07-01,-0.149
1986-08-01,-0.149
1986-09-01,-0.148
1986-10-01,-0.15
1986-11-01,-0.151
1986-12-01,-0.152
1987-01-01,-0.153
1987-02-01,-0.153
1987-03-01,-0.154
1987-04-01,-0.154
1987-05-01,-0.155
1987-06-01,-0.155
1987-07-01,-0.155
1987-08-01,-0.156
1987-09-01,-0.157
1987-10-01,-0.157
1987-11-01,-0.157
1987-12-01,-0.156
1988-01-01,-0.154
1988-02-01,-0.154
1988-03-01,-0.155
1988-04-01,-0.157
1988-05-01,-0.159
1988-06-01,-0.16
1988-07-01,-0.162
1988-08-01,-0.164
1988-09-01,-0.164
1988-10-01,-0.164
1988-11-01,-0.165
1988-12-01,-0.166
1989-01-01,-0.169
1989-02-01,-0.171
1989-03-01,-0.172
1989-04-01,-0.173
1989-05-01,-0.174
1989-06-01,-0.174
1989-07-01,-0.173
1989-08-01,-0.173
1989-09-01,-0.173
1989-10-01,-0.172
1989-11-01,-0.169
1989-12-01,-0.166
1990-01-01,-0.164
1990-02-01,-0.162
1990-03-01,-0.159
1990-04-01,-0.155
1990-05-01,-0.15
1990-06-01,-0.144
1990-07-01,-0.141
1990-08-01,-0.138
1990-09-01,-0.135
1990-10-01,-0.132
1990-11-01,-0.129
1990-12-01,-0.127
1991-01-01,-0.124
1991-02-01,-0.122
1991-03-01,-0.12
1991-04-01,-0.117
1991-05-01,-0.115
1991-06-01,-0.115
1991-07-01,-0.113
1991-08-01,-0.111
1991-09-01,-0.109
1991-10-01,-0.109
1991-11-01,-0.108
1991-12-01,-0.106
1992-01-01,-0.103
1992-02-01,-0.102
1992-03-01,-0.1
1992-04-01,-0.1
1992-05-01,-0.099
1992-06-01,-0.1
1992-07-01,-0.101
1992-08-01,-0.104
1992-09-01,-0.105
1992-10-01,-0.105
1992-11-01,-0.106
1992-12-01,-0.104
1993-01-01,-0.103
1993-02-01,-0.101
1993-03-01,-0.097
1993-04-01,-0.095
1993-05-01,-0.092
1993-06-01,-0.089
1993-07-01,-0.087
1993-08-01,-0.083
1993-09-01,-0.08
1993-10-01,-0.076
1993-11-01,-0.072
1993-12-01,-0.068
1994-01-01,-0.067
1994-02-01,-0.064
1994-03-01,-0.063
1994-04-01,-0.06
1994-05-01,-0.057
1994-06-01,-0.054
1994-07-01,-0.053
1994-08-01,-0.052
1994-09-01,-0.051
1994-10-01,-0.051
1994-11-01,-0.05
1994-12-01,-0.049
1995-01-01,-0.048
1995-02-01,-0.046
1995-03-01,-0.044
1995-04-01,-0.042
1995-05-01,-0.04
1995-06-01,-0.04
1995-07-01,-0.039
1995-08-01,-0.038
1995-09-01,-0.038
1995-10-01,-0.039
1995-11-01,-0.041
1995-12-01,-0.041
1996-01-01,-0.042
1996-02-01,-0.041
1996-03-01,-0.04
1996-04-01,-0.039
1996-05-01,-0.038
1996-06-01,-0.035
1996-07-01,-0.033
1996-08-01,-0.031
1996-09-01,-0.028
1996-10-01,-0.025
1996-11-01,-0.022
1996-12-01,-0.018
1997-01-01,-0.015
1997-02-01,-0.012
1997-03-01,-0.01
1997-04-01,-0.009
1997-05-01,-0.008
1997-06-01,-0.007
1997-07-01,-0.007
1997-08-01,-0.004
1997-09-01,-0.0
1997-10-01,0.004
1997-11-01,0.006
1997-12-01,0.009
1998-01-01,0.012
1998-02-01,0.014
1998-03-01,0.016
1998-04-01,0.019
1998-05-01,0.022
1998-06-01,0.025
1998-07-01,0.028
1998-08-01,0.034
1998-09-01,0.04
1998-10-01,0.044
1998-11-01,0.048
1998-12-01,0.053
1999-01-01,0.057
1999-02-01,0.061
1999-03-01,0.065
1999-04-01,0.068
1999-05-01,0.07
1999-06-01,0.073
1999-07-01,0.077
1999-08-01,0.081
1999-09-01,0.085
1999-10-01,0.088
1999-11-01,0.091
1999-12-01,0.092
2000-01-01,0.094
2000-02-01,0.095
2000-03-01,0.098
2000-04-01,0.1
2000-05-01,0.102
2000-06-01,0.103
2000-07-01,0.103
2000-08-01,0.104
2000-09-01,0.106
2000-10-01,0.108
2000-11-01,0.108
2000-12-01,0.109
2001-01-01,0.109
2001-02-01,0.11
2001-03-01,0.111
2001-04-01,0.113
2001-05-01,0.115
2001-06-01,0.119
2001-07-01,0.123
2001-08-01,0.127
2001-09-01,0.13
2001-10-01,0.133
2001-11-01,0.136
2001-12-01,0.139
2002-01-01,0.142
2002-02-01,0.144
2002-03-01,0.146
2002-04-01,0.147
2002-05-01,0.148
2002-06-01,0.148
2002-07-01,0.149
2002-08-01,0.149
2002-09-01,0.15
2002-10-01,0.15
2002-11-01,0.15
2002-12-01,0.151
2003-01-01,0.15
2003-02-01,0.15
2003-03-01,0.149
2003-04-01,0.146
2003-05-01,0.145
2003-06-01,0.144
2003-07-01,0.142
2003-08-01,0.139
2003-09-01,0.137
2003-10-01,0.134
2003-11-01,0.131
2003-12-01,0.129
2004-01-01,0.126
2004-02-01,0.124
2004-03-01,0.122
2004-04-01,0.12
2004-05-01,0.12
2004-06-01,0.119
2004-07-01,0.12
2004-08-01,0.119
2004-09-01,0.117
2004-10-01,0.117
2004-11-01,0.117
2004-12-01,0.118
2005-01-01,0.119
2005-02-01,0.121
2005-03-01,0.123
2005-04-01,0.126
2005-05-01,0.129
2005-06-01,0.132
2005-07-01,0.136
2005-08-01,0.14
2005-09-01,0.143
2005-10-01,0.145
2005-11-01,0.147
2005-12-01,0.149
2006-01-01,0.151
2006-02-01,0.153
2006-03-01,0.154
2006-04-01,0.154
2006-05-01,0.156
2006-06-01,0.157
2006-07-01,0.156
2006-08-01,0.156
2006-09-01,0.156
2006-10-01,0.154
2006-11-01,0.152
2006-12-01,0.15
2007-01-01,0.148
2007-02-01,0.146
2007-03-01,0.145
2007-04-01,0.144
2007-05-01,0.146
2007-06-01,0.148
2007-07-01,0.152
2007-08-01,0.157
2007-09-01,0.159
2007-10-01,0.161
2007-11-01,0.162
2007-12-01,0.163
2008-01-01,0.164
2008-02-01,0.164
2008-03-01,0.166
2008-04-01,0.166
2008-05-01,0.166
2008-06-01,0.165
2008-07-01,0.165
2008-08-01,0.164
2008-09-01,0.163
2008-10-01,0.162
2008-11-01,0.16
2008-12-01,0.158
2009-01-01,0.156
2009-02-01,0.154
2009-03-01,0.151
2009-04-01,0.149
2009-05-01,0.148
2009-06-01,0.149
2009-07-01,0.149
2009-08-01,0.15
2009-09-01,0.15
2009-10-01,0.15
2009-11-01,0.149
2009-12-01,0.147
2010-01-01,0.146
2010-02-01,0.145
2010-03-01,0.143
2010-04-01,0.14
2010-05-01,0.138
2010-06-01,0.135
2010-07-01,0.134
2010-08-01,0.132
2010-09-01,0.13
2010-10-01,0.13
2010-11-01,0.129
2010-12-01,0.13
2011-01-01,0.13
2011-02-01,0.13
2011-03-01,0.131
2011-04-01,0.132
2011-05-01,0.133
2011-06-01,0.134
2011-07-01,0.135
2011-08-01,0.136
2011-09-01,0.136
2011-10-01,0.136
2011-11-01,0.137
2011-12-01,0.137
2012-01-01,0.137
2012-02-01,0.138
2012-03-01,0.137
2012-04-01,0.139
2012-05-01,0.14
2012-06-01,0.141
2012-07-01,0.143
2012-08-01,0.145
2012-09-01,0.147
2012-10-01,0.15
2012-11-01,0.151
2012-12-01,0.153
2013-01-01,0.153
2013-02-01,0.154
2013-03-01,0.154
2013-04-01,0.153
2013-05-01,0.153
2013-06-01,0.151
2013-07-01,0.149
2013-08-01,0.148
2013-09-01,0.148
2013-10-01,0.148
2013-11-01,0.146
2013-12-01,0.145
2014-01-01,0.145
2014-02-01,0.146
2014-03-01,0.148
2014-04-01,0.151
2014-05-01,0.153
2014-06-01,0.154
2014-07-01,0.156
2014-08-01,0.157
2014-09-01,0.158
2014-10-01,0.159
2014-11-01,0.158
2014-12-01,0.159
2015-01-01,0.159
2015-02-01,0.162
2015-03-01,0.163
2015-04-01,0.164
2015-05-01,0.163
2015-06-01,0.161
2015-07-01,0.16
2015-08-01,0.16
2015-09-01,0.159
2015-10-01,0.157
2015-11-01,0.156
2015-12-01,0.155
2016-01-01,0.155
2016-02-01,0.155
2016-03-01,0.155
2016-04-01,0.155
2016-05-01,0.155
2016-06-01,0.156
2016-07-01,0.156
2016-08-01,0.157
2016-09-01,0.16
2016-10-01,0.163
2016-11-01,0.166
2016-12-01,0.169
2017-01-01,0.171
2017-02-01,0.173
2017-03-01,0.173
2017-04-01,0.174
2017-05-01,0.175
2017-06-01,0.175
2017-07-01,0.174
2017-08-01,0.174
2017-09-01,0.176
2017-10-01,0.177
2017-11-01,0.176
2017-12-01,0.177
2018-01-01,0.178
2018-02-01,
2018-03-01,
2018-04-01,
2018-05-01,
2018-06-01,
2018-07-01,
2018-08-01,
2018-09-01,
2018-10-01,
2018-11-01,
2018-12-01,
2019-01-01,
2019-02-01,
2019-03-01,
2019-04-01,
2019-05-01,
2019-06-01,
2019-07-01,
2019-08-01,
2019-09-01,
2019-10-01,
2019-11-01,
2019-12-01,
2020-01-01,
2020-02-01,
2020-03-01,
2020-04-01,
2020-05-01,
2020-06-01,
2020-07-01,
2020-08-01,
2020-09-01,
2020-10-01,
2020-11-01,
2020-12-01,
2021-01-01,
2021-02-01,
2021-03-01,
2021-04-01,
2021-05-01,
2021-06-01,
2021-07-01,
2021-08-01,
2021-09-01,
2021-10-01,
2021-11-01,
2021-12-01,
2022-01-01,
2022-02-01,
2022-03-01,
2022-04-01,
2022-05-01,
2022-06-01,
2022-07-01,
2022-08-01,
2022-09-01,
2022-10-01,
2022-11-01,
2022-12-01,
2023-01-01,
2023-02-01,
2023-03-01,
2023-04-01,
2023-05-01,
2023-06-01,
2023-07-01,
2023-08-01,
2023-09-01,
2023-10-01,
2023-11-01,
2023-12-01,
