,Precipitation,Temperature
January,45.5,-4.7
February,35.1,-5.3
March,34.0,-1.8
April,33.9,4.5
May,44.4,10.4
June,75.9,14.5
July,75.1,17.2
August,87.0,15.8
September,62.5,11.1
October,75.5,5.2
November,57.2,0.5
December,50.2,-2.7
