,station_name,station_name_kana,station_name_roman,fuken_id,type,longitude,latitude,height
47761,彦根,ヒコネ,Hikone,60,S,136.243333333,35.275,87.3
47751,伊吹山,イブキヤマ,Ibukiyama,60,S,136.413333333,35.4183333333,1375.8
47750,舞鶴,マイヅル,Maiduru,61,S,135.316666667,35.45,2.4
47759,京都,キヨウト,Kiyouto,61,S,135.731666667,35.015,41.4
47772,大阪,オオサカ,Oosaka,62,S,135.518333333,34.6816666667,23.0
47747,豊岡,トヨオカ,Toyooka,63,S,134.821666667,35.535,3.4
47769,姫路,ヒメジ,Himeji,63,S,134.67,34.8383333333,38.2
47770,神戸,コウベ,Koube,63,S,135.211666667,34.6966666667,5.3
47776,洲本,スモト,Sumoto,63,S,134.905,34.3383333333,109.3
47780,奈良,ナラ,Nara,64,S,135.826666667,34.6933333333,104.4
47777,和歌山,ワカヤマ,Wakayama,65,S,135.163333333,34.2283333333,13.9
47778,潮岬,シオノミサキ,Shionomisaki,65,S,135.756666667,33.45,68.0
47756,津山,ツヤマ,Tsuyama,66,S,134.008333333,35.0633333333,145.7
47768,岡山,オカヤマ,Okayama,66,S,133.916666667,34.66,2.8
47767,福山,フクヤマ,Fukuyama,67,S,133.246666667,34.4466666667,1.9
47765,広島,ヒロシマ,Hiroshima,67,S,132.461666667,34.3983333333,3.6
47766,呉,クレ,Kure,67,S,132.55,34.24,3.5
47740,西郷,サイゴウ,Saigou,68,S,133.333333333,36.2033333333,26.5
47741,松江,マツエ,Matsue,68,S,133.065,35.4566666667,16.9
47755,浜田,ハマダ,Hamada,68,S,132.07,34.8966666667,19.0
47742,境,サカイ,Sakai,69,S,133.235,35.5433333333,2.0
47746,鳥取,トツトリ,Totsutori,69,S,134.238333333,35.4866666667,7.1
47744,米子,ヨナゴ,Yonago,69,S,133.338333333,35.4333333333,6.4
47895,徳島,トクシマ,Tokushima,71,S,134.573333333,34.0666666667,1.6
47894,剣山,ツルギサン,Tsurugisan,71,S,134.096666667,33.8533333333,1944.8
47891,高松,タカマツ,Takamatsu,72,S,134.053333333,34.3166666667,8.7
47890,多度津,タドツ,Tadotsu,72,S,133.751666667,34.275,3.7
47887,松山,マツヤマ,Matsuyama,73,S,132.776666667,33.8433333333,32.2
47892,宇和島,ウワジマ,Uwajima,73,S,132.551666667,33.2266666667,2.4
47893,高知,コウチ,Kouchi,74,S,133.548333333,33.5666666667,0.5
47899,室戸岬,ムロトミサキ,Murotomisaki,74,S,134.176666667,33.2516666667,185.0
47897,宿毛,スクモ,Sukumo,74,S,132.695,32.92,2.2
47898,清水,シミズ,Shimizu,74,S,133.01,32.7216666667,31.0
47754,萩,ハギ,Hagi,81,S,131.405,34.41,2.2
47784,山口,ヤマグチ,Yamaguchi,81,S,131.453333333,34.16,16.7
47762,下関,シモノセキ,Shimonoseki,81,S,130.925,33.9483333333,3.3
47809,飯塚,イイヅカ,Iiduka,82,S,130.693333333,33.6516666667,37.1
47807,福岡,フクオカ,Fukuoka,82,S,130.375,33.5816666667,2.5
47814,日田,ヒタ,Hita,83,S,130.928333333,33.3216666667,82.9
47815,大分,オオイタ,Ooita,83,S,131.618333333,33.235,4.6
47800,厳原,イヅハラ,Iduhara,84,S,129.291666667,34.1966666667,3.7
47805,平戸,ヒラド,Hirado,84,S,129.55,33.36,57.8
47812,佐世保,サセボ,Sasebo,84,S,129.726666667,33.1583333333,3.9
47817,長崎,ナガサキ,Nagasaki,84,S,129.866666667,32.7333333333,26.9
47818,雲仙岳,ウンゼンダケ,Unzendake,84,S,130.261666667,32.7366666667,677.5
47843,福江,フクエ,Fukue,84,S,128.826666667,32.6933333333,25.1
47813,佐賀,サガ,Saga,85,S,130.305,33.265,5.5
47819,熊本,クマモト,Kumamoto,86,S,130.706666667,32.8133333333,37.7
47821,阿蘇山,アソサン,Asosan,86,S,131.073333333,32.88,1142.3
47824,人吉,ヒトヨシ,Hitoyoshi,86,S,130.755,32.2166666667,145.8
47838,牛深,ウシブカ,Ushibuka,86,S,130.026666667,32.1966666667,3.0
47822,延岡,ノベオカ,Nobeoka,87,S,131.656666667,32.5816666667,19.2
47830,宮崎,ミヤザキ,Miyazaki,87,S,131.413333333,31.9383333333,9.2
47829,都城,ミヤコノジヨウ,Miyakonojiyou,87,S,131.08,31.73,153.8
47835,油津,アブラツ,Aburatsu,87,S,131.406666667,31.5783333333,2.9
47823,阿久根,アクネ,Akune,88,S,130.2,32.0266666667,40.1
47827,鹿児島,カゴシマ,Kagoshima,88,S,130.546666667,31.5533333333,3.9
47831,枕崎,マクラザキ,Makurazaki,88,S,130.293333333,31.2716666667,29.5
47837,種子島,タネガシマ,Tanegashima,88,S,130.981666667,30.72,24.9
47909,名瀬,ナゼ,Naze,88,S,129.495,28.3783333333,2.8
47836,屋久島,ヤクシマ,Yakushima,88,S,130.658333333,30.385,37.3
47942,沖永良部,オキノエラブ,Okinoerabu,88,S,128.705,27.4316666667,26.8
47940,名護,ナゴ,Nago,91,S,127.965,26.5933333333,6.1
47936,那覇,ナハ,Naha,91,S,127.685,26.2066666667,28.1
47918,石垣島,イシガキジマ,Ishigakijima,91,S,124.163333333,24.3366666667,5.7
47927,宮古島,ミヤコジマ,Miyakojima,91,S,125.276666667,24.7933333333,39.9
47929,久米島,クメジマ,Kumejima,91,S,126.803333333,26.3366666667,5.0
47917,西表島,イリオモテジマ,Iriomotejima,91,S,123.765,24.4266666667,9.9
47912,与那国島,ヨナグニジマ,Yonagunijima,91,S,123.01,24.4666666667,30.0
47945,南大東(南大東島),ミナミダイトウジマ,Minamidaitoujima,91,S,131.226666667,25.8283333333,15.3
