,Precipitation,Temperature
January,142.3,26.2
February,161.9,26.1
March,102.4,25.0
April,45.0,22.7
May,63.0,19.7
June,52.0,17.4
July,25.3,16.5
August,32.2,17.4
September,36.9,20.0
October,84.1,22.0
November,70.1,23.9
December,118.1,25.4
