,Precipitation,Temperature
January,39.3,20.6
February,41.4,20.5
March,37.5,18.6
April,42.1,15.3
May,34.3,12.5
June,41.5,10.2
July,32.8,9.6
August,39.3,10.3
September,46.1,12.2
October,48.5,14.3
November,60.1,16.6
December,52.5,18.5
