month,maxTemp,minTemp,meanTemp,rainfall
1,,,,167.3
2,,,,72.4
3,,,,88.2
4,,,,123.8
5,,,,282.5
6,,,,301.0
7,,,,246.7
8,,,,180.2
9,,,,94.7
10,,,,108.7
11,,,,188.8
12,,,,253.2
