month,maxTemp,minTemp,meanTemp,rainfall
1,3.5,-1.4,,64.4
2,4.4,-1.2,,42.4
3,8.0,1.1,,62.9
4,12.3,3.3,,45.6
5,17.5,7.4,,53.7
6,19.9,10.5,,76.9
7,22.1,12.7,,74.7
8,22.2,12.5,,73.0
9,17.9,9.6,,68.4
10,13.0,6.0,,63.6
11,7.5,2.4,,69.4
12,4.6,0.0,,77.7
