,Precipitation,Temperature
January,36,-1.8
February,31,-0.2
March,36,4.6
April,38,11.0
May,53,16.8
June,65,20.7
July,67,22.9
August,49,22.7
September,49,17.0
October,46,10.8
November,42,4.8
December,40,-0.2
