,Precipitation,Temperature
January,51.5,2.0
February,42.6,1.7
March,35.8,2.9
April,25.8,6.0
May,37.7,10.2
June,44.1,14.5
July,53.5,17.4
August,66.5,17.9
September,56.3,14.8
October,62.1,10.6
November,61.1,6.6
December,57.3,3.7
