,precip_mm,temp_C,dewtemp_C,vapor-pres_hPa,rh_percent,wspd_ms,wdir_deg,sunlit_h,snowfall_cm,snowdepth_cm
2020-12-03 01:00:00,0.0,-1.2,,,,3.7,292.5,,,
2020-12-03 02:00:00,0.0,-1.1,,,,4.6,292.5,,,
2020-12-03 03:00:00,0.0,-1.1,,,,5.4,292.5,,,
2020-12-03 04:00:00,0.0,-0.8,,,,4.5,270.0,,,
2020-12-03 05:00:00,0.0,-1.0,,,,6.6,292.5,,,
2020-12-03 06:00:00,0.0,-1.5,,,,5.5,292.5,,,
2020-12-03 07:00:00,0.0,-1.1,,,,4.7,225.0,0.0,,
2020-12-03 08:00:00,0.0,-2.0,,,,3.3,270.0,0.0,,
2020-12-03 09:00:00,0.5,-2.4,,,,5.5,292.5,0.0,,
2020-12-03 10:00:00,1.0,-1.5,,,,4.5,292.5,0.0,,
2020-12-03 11:00:00,0.5,-1.5,,,,4.3,292.5,0.1,,
2020-12-03 12:00:00,0.0,-2.0,,,,3.8,292.5,0.0,,
2020-12-03 13:00:00,0.0,-2.0,,,,4.4,292.5,0.0,,
2020-12-03 14:00:00,0.5,-1.4,,,,5.0,225.0,0.0,,
2020-12-03 15:00:00,0.0,-2.5,,,,4.2,270.0,0.0,,
2020-12-03 16:00:00,0.0,-2.1,,,,5.6,292.5,0.0,,
2020-12-03 17:00:00,0.0,-1.8,,,,6.5,292.5,,,
2020-12-03 18:00:00,0.0,-1.9,,,,5.3,292.5,,,
2020-12-03 19:00:00,0.0,-1.8,,,,4.7,292.5,,,
2020-12-03 20:00:00,0.0,-1.9,,,,4.1,292.5,,,
2020-12-03 21:00:00,0.0,-1.7,,,,6.0,292.5,,,
2020-12-03 22:00:00,0.0,-1.9,,,,5.0,292.5,,,
2020-12-03 23:00:00,0.0,-1.2,,,,6.9,292.5,,,
2020-12-04 00:00:00,0.0,-1.5,,,,5.8,292.5,,,
