,precip_mm,temp_C,dewtemp_C,vapor-pres_hPa,rh_percent,wspd_ms,wdir_deg,sunlit_h,snowfall_cm,snowdepth_cm
2020-12-02 01:00:00,0.0,-2.5,,,,5.7,292.5,,,
2020-12-02 02:00:00,0.0,-2.7,,,,5.7,292.5,,,
2020-12-02 03:00:00,0.0,-3.2,,,,4.7,292.5,,,
2020-12-02 04:00:00,0.0,-3.1,,,,5.9,292.5,,,
2020-12-02 05:00:00,0.0,-3.0,,,,4.8,292.5,,,
2020-12-02 06:00:00,0.0,-3.1,,,,6.3,292.5,,,
2020-12-02 07:00:00,0.0,-2.9,,,,6.1,292.5,0.0,,
2020-12-02 08:00:00,0.0,-2.1,,,,5.5,292.5,0.0,,
2020-12-02 09:00:00,0.0,-2.0,,,,4.4,270.0,0.0,,
2020-12-02 10:00:00,0.0,-1.6,,,,5.5,292.5,0.2,,
2020-12-02 11:00:00,0.0,-1.6,,,,4.6,292.5,0.1,,
2020-12-02 12:00:00,0.0,-1.2,,,,5.9,292.5,0.0,,
2020-12-02 13:00:00,0.0,-1.0,,,,3.6,270.0,0.2,,
2020-12-02 14:00:00,0.0,-1.2,,,,3.5,270.0,0.0,,
2020-12-02 15:00:00,0.0,-0.9,,,,5.3,292.5,0.0,,
2020-12-02 16:00:00,0.0,-1.0,,,,4.7,292.5,0.0,,
2020-12-02 17:00:00,0.0,-0.8,,,,5.4,292.5,,,
2020-12-02 18:00:00,0.0,-0.8,,,,3.8,225.0,,,
2020-12-02 19:00:00,0.0,-0.3,,,,4.2,247.5,,,
2020-12-02 20:00:00,0.0,-0.3,,,,3.5,270.0,,,
2020-12-02 21:00:00,0.0,-0.5,,,,4.6,270.0,,,
2020-12-02 22:00:00,0.0,-0.6,,,,3.9,292.5,,,
2020-12-02 23:00:00,0.0,-0.6,,,,5.1,292.5,,,
2020-12-03 00:00:00,0.0,-0.9,,,,4.2,292.5,,,
