,Precipitation,Temperature
January,33.4,-1.9
February,32.3,-0.6
March,39.0,3.3
April,45.9,9.1
May,79.3,14.0
June,81.6,17.6
July,90.8,19.4
August,63.5,18.9
September,66.0,13.9
October,49.5,8.9
November,36.1,4.1
December,34.4,-0.5
