,Precipitation,Temperature
January,35.0,-2.3
February,29.4,-1.2
March,32.0,2.3
April,32.6,8.4
May,56.7,13.4
June,67.6,16.6
July,75.6,18.7
August,56.9,18.3
September,55.1,13.4
October,43.6,8.0
November,37.9,3.1
December,39.4,-0.7
