,Precipitation,Temperature
January,41.9,-0.1
February,34.6,0.9
March,39.4,4.1
April,29.5,9.5
May,57.0,14.0
June,56.7,17.3
July,75.0,19.4
August,56.8,19.0
September,45.5,14.3
October,40.4,9.2
November,38.4,4.3
December,41.6,1.1
