,Precipitation,Temperature
January,65.2,-4.4
February,46.7,-4.1
March,45.5,-0.5
April,49.8,4.6
May,67.3,10.1
June,78.4,14.1
July,80.9,16.5
August,101.4,15.1
September,80.5,10.6
October,94.4,5.0
November,89.5,0.5
December,67.0,-3.4
