,Precipitation,Temperature
January,136.9,6.4
February,109.9,6.5
March,90.6,7.7
April,74.0,9.1
May,70.8,11.4
June,73.0,13.5
July,85.9,14.9
August,100.5,15.0
September,102.6,13.7
October,131.2,11.2
November,139.6,8.7
December,126.6,6.9
