,precip-accum_mm,temp_C
1960-01-01,23.7,2.9838709677419355
1960-02-01,11.8,4.444827586206896
1960-03-01,74.6,7.480645161290322
1960-04-01,116.7,11.360000000000001
1960-05-01,125.0,16.280645161290323
1960-06-01,100.0,19.923333333333336
1960-07-01,52.5,24.103225806451615
1960-08-01,248.9,25.238709677419354
1960-09-01,106.8,22.220000000000002
1960-10-01,172.1,15.5
1960-11-01,86.8,10.4
1960-12-01,59.199999999999996,4.080645161290323
1961-01-01,30.7,1.535483870967742
1961-02-01,30.5,2.7642857142857147
1961-03-01,90.4,6.496774193548387
1961-04-01,115.7,13.18
1961-05-01,46.6,18.351612903225806
1961-06-01,361.2,21.02
1961-07-01,138.20000000000002,25.69677419354839
1961-08-01,92.9,25.11935483870968
1961-09-01,34.6,23.533333333333335
1961-10-01,197.70000000000002,17.329032258064515
1961-11-01,47.2,10.443333333333333
1961-12-01,33.9,4.606451612903226
1962-01-01,41.5,2.490322580645161
1962-02-01,10.8,3.275
1962-03-01,64.5,6.206896551724138
1962-04-01,89.0,12.15
1962-05-01,221.2,17.009677419354837
1962-06-01,223.3,19.64333333333333
1962-07-01,201.10000000000002,24.003225806451614
1962-08-01,116.10000000000001,26.241935483870968
1962-09-01,6.5,22.503333333333334
1962-10-01,102.30000000000001,14.735483870967743
1962-11-01,111.9,9.626666666666667
1962-12-01,48.1,4.196774193548387
1963-01-01,0.6,0.8096774193548387
1963-02-01,28.2,2.292857142857143
1963-03-01,67.3,5.990322580645161
1963-04-01,74.6,11.96
1963-05-01,123.3,16.65806451612903
1963-06-01,194.4,20.413333333333334
1963-07-01,155.20000000000002,23.731034482758623
1963-08-01,155.79999999999998,24.864516129032257
1963-09-01,109.8,19.732142857142858
1963-10-01,296.9,14.796774193548387
1963-11-01,101.8,9.573333333333332
1963-12-01,23.5,5.396774193548388
1964-01-01,108.3,3.051612903225806
1964-02-01,47.4,2.8379310344827586
1964-03-01,79.3,5.6
1964-04-01,69.3,13.83
1964-05-01,63.199999999999996,17.13225806451613
1964-06-01,122.8,19.993333333333332
1964-07-01,63.300000000000004,23.80322580645161
1964-08-01,169.0,26.09032258064516
1964-09-01,107.3,20.771428571428572
1964-10-01,113.69999999999999,14.448387096774193
1964-11-01,49.1,8.626666666666667
1964-12-01,53.0,4.503333333333333
1965-01-01,41.900000000000006,2.0516129032258066
1965-02-01,12.8,2.6607142857142856
1965-03-01,29.1,4.609677419354839
1965-04-01,71.6,9.096666666666666
1965-05-01,338.3,15.793548387096775
1965-06-01,164.5,20.23
1965-08-01,94.0,24.91290322580645
1965-09-01,217.8,20.529999999999998
1965-10-01,68.9,14.174193548387096
1965-11-01,74.19999999999999,9.996666666666666
1965-12-01,69.4,4.006451612903226
1966-01-01,20.200000000000003,1.6161290322580646
1966-02-01,104.2,4.664285714285714
1966-03-01,111.9,7.435483870967742
1966-04-01,120.8,11.746666666666666
1966-05-01,142.2,15.67741935483871
1966-06-01,321.0,18.523333333333333
1966-07-01,102.8,23.02258064516129
1966-08-01,69.3,24.980645161290322
1966-09-01,148.7,21.529999999999998
1966-10-01,65.7,16.125806451612902
1966-11-01,28.299999999999997,9.433333333333334
1966-12-01,9.700000000000001,2.545161290322581
