,Precipitation,Temperature
January,10.0,-14.8
February,14.3,-9.5
March,23.7,-1.0
April,39.3,7.8
May,84.3,14.4
June,111.1,19.2
July,196.2,22.6
August,161.5,21.5
September,67.0,15.0
October,43.1,7.1
November,37.4,-2.3
December,18.0,-12.0
