,Precipitation,Temperature
January,1.4,-13.4
February,1.4,-8.5
March,3.2,-0.8
April,4.7,8.1
May,14.0,15.0
June,27.1,20.8
July,33.6,23.3
August,36.9,21.0
September,17.0,14.7
October,5.0,5.8
November,3.0,-3.8
December,2.4,-11.5
