,Precipitation,Temperature
January,4.2,-15.2
February,4.6,-11.8
March,8.9,-7.6
April,12.1,-2.2
May,35.1,2.1
June,64.2,5.8
July,77.3,8.4
August,69.3,8.0
September,47.8,4.3
October,20.1,-2.3
November,4.7,-9.5
December,2.3,-14.2
