,Precipitation,Temperature
January,24.9,-12.4
February,23.3,-11.7
March,30.0,-4.6
April,29.3,7.6
May,28.8,15.6
June,30.3,21.1
July,29.7,23.0
August,20.4,21.3
September,16.9,14.2
October,29.0,6.1
November,25.1,-3.0
December,29.3,-9.8
