,Precipitation,Temperature
January,22.5,-16.1
February,20.2,-15.0
March,22.7,-7.1
April,23.4,5.5
May,34.6,13.2
June,38.2,18.6
July,49.2,19.8
August,28.1,18.2
September,19.9,11.4
October,24.1,3.7
November,25.1,-6.5
December,24.6,-13.4
