month,maxTemp,minTemp,meanTemp,rainfall
1,30.8,23.2,,146.4
2,30.9,23.1,,156.0
3,30.8,22.8,,202.2
4,30.4,22.0,,122.0
5,29.5,20.3,,32.4
6,28.3,18.6,,15.0
7,27.7,18.2,,11.3
8,27.8,19.6,,7.9
9,28.7,19.8,,2.2
10,29.5,21.6,,11.3
11,30.4,23.0,,41.6
12,30.8,23.5,,124.5
