,Precipitation,Temperature
January,221.9,8.9
February,143.1,9.7
March,152.7,11.8
April,149.6,13.1
May,113.2,15.5
June,56.2,18.3
July,39.7,20.2
August,48.0,20.5
September,95.3,18.8
October,208.2,15.6
November,236.9,11.5
December,231.2,9.5
