Height(m),Temp(C),RH(%),WindSpd(m/s),WindDir(deg),GeoPotHeight(m)
26.0,20.9,74.0,1.3,260.0,
,19.7,73.0,3.0,285.0,83.0
,13.3,94.0,2.0,44.0,748.0
,11.4,95.0,4.0,41.0,978.0
,10.7,29.0,9.0,6.0,1456.0
,7.7,25.0,11.0,346.0,1958.0
,2.8,12.0,10.0,278.0,3048.0
,-1.7,19.0,18.0,290.0,4285.0
,-11.2,15.0,24.0,285.0,5708.0
,-23.8,13.0,28.0,267.0,7382.0
,-31.8,71.0,30.0,264.0,8342.0
,-34.7,65.0,46.0,265.0,9425.0
,-44.9,,54.0,267.0,10671.0
,-57.6,,62.0,274.0,12121.0
,-62.1,,56.0,274.0,12953.0
,-60.8,,53.0,263.0,13903.0
,-60.2,,33.0,267.0,15033.0
,-62.6,,23.0,262.0,16415.0
,-65.3,,11.0,252.0,18596.0
,-58.2,,8.0,216.0,20693.0
,-56.5,,3.0,110.0,22114.0
,-53.5,,2.0,17.0,23949.0
,-48.5,,8.0,130.0,26585.0
,-44.5,,6.0,112.0,28501.0
,,,,,
,,,,,
