GeoPotHeight(m),WindSpd(m/s),WindDir(deg),Mark
26,1.3,260,SingularPoint
39,2.0,276,SingularPoint
344,2.0,319,
640,1.0,5,SingularPoint
894,3.0,60,SingularPoint
1028,5.0,44,
1331,8.0,20,
1697,8.0,353,SingularPoint
2033,10.0,342,SingularPoint
2308,4.0,316,SingularPoint
2499,6.0,294,
2937,9.0,276,SingularPoint
3381,12.0,307,SingularPoint
3800,13.0,285,SingularPoint
4157,17.0,286,
4535,18.0,288,
4917,18.0,293,
5299,20.0,290,
5637,22.0,282,SingularPoint
5946,26.0,281,
6261,25.0,281,
6606,26.0,275,
6962,30.0,270,SingularPoint
7294,28.0,269,
7636,28.0,267,
7981,29.0,265,
8309,29.0,263,SingularPoint
8626,36.0,258,
8983,43.0,261,
9326,46.0,265,SingularPoint
9642,48.0,265,
9982,50.0,267,
10323,52.0,268,
10677,54.0,267,
11015,55.0,268,
11377,56.0,270,
11738,58.0,271,
12121,62.0,274,SingularPoint
12402,66.0,276,極大風速面
12752,59.0,275,
13108,52.0,270,SingularPoint
13496,51.0,264,
13836,53.0,262,SingularPoint
14218,47.0,265,
14525,47.0,264,SingularPoint
14928,38.0,270,
15232,27.0,264,SingularPoint
15615,32.0,261,
15979,32.0,265,SingularPoint
16384,23.0,264,SingularPoint
16729,25.0,261,
17091,24.0,264,
17346,23.0,277,SingularPoint
17593,15.0,270,SingularPoint
17958,15.0,264,
18343,13.0,250,
18746,10.0,254,SingularPoint
19052,10.0,275,SingularPoint
19424,10.0,243,SingularPoint
19633,6.0,256,
19814,2.0,284,SingularPoint
19990,3.0,212,SingularPoint
20152,3.0,182,
20278,6.0,153,SingularPoint
20666,8.0,211,SingularPoint
20858,2.0,229,SingularPoint
21236,3.0,133,SingularPoint
21621,3.0,127,
22015,2.0,111,SingularPoint
22305,5.0,130,
22536,3.0,156,
22906,4.0,177,SingularPoint
22996,2.0,218,SingularPoint
23399,1.0,99,SingularPoint
23615,3.0,174,
23779,1.0,219,SingularPoint
24035,3.0,33,SingularPoint
24169,2.0,80,SingularPoint
24258,3.0,130,SingularPoint
24348,3.0,123,SingularPoint
24464,4.0,88,SingularPoint
24822,4.0,138,
24973,3.0,148,SingularPoint
25151,3.0,98,SingularPoint
25365,3.0,110,SingularPoint
25533,2.0,159,SingularPoint
25700,3.0,60,SingularPoint
25934,6.0,85,
26173,6.0,122,SingularPoint
26392,10.0,107,SingularPoint
26786,3.0,151,SingularPoint
26957,3.0,90,SingularPoint
27359,8.0,109,SingularPoint
27623,6.0,95,SingularPoint
28066,10.0,112,SingularPoint
28544,6.0,116,
28568,5.0,119,SingularPoint
