,Precipitation,Temperature
January,2.4,-19.6
February,2.8,-14.8
March,6.2,-6.6
April,12.2,2.9
May,27.6,10.5
June,75.8,16.1
July,101.8,18.3
August,84.7,16.1
September,40.0,9.8
October,15.6,0.7
November,6.0,-10.2
December,3.5,-17.6
