,Precipitation,Temperature
January,1.2,-23.0
February,1.5,-17.3
March,3.3,-4.7
April,6.6,6.1
May,13.9,12.7
June,26.0,18.5
July,34.8,20.4
August,25.7,18.1
September,10.1,11.6
October,3.9,2.9
November,2.0,-8.2
December,1.8,-18.3
