,Precipitation,Temperature
January,91.6,-3.2
February,90.5,-1.9
March,89.9,1.7
April,107.3,6.4
May,115.6,10.9
June,112.8,14.8
July,81.7,16.6
August,74.9,16.7
September,109.9,11.9
October,123.4,7.7
November,126.9,2.8
December,122.9,-2.2
