,Precipitation,Temperature
January,20.4,-23.4
February,16.2,-20.1
March,22.8,-12.9
April,23.6,-2.4
May,42.8,5.9
June,68.0,12.9
July,90.5,16.2
August,85.4,14.5
September,60.2,8.2
October,39.9,0.1
November,29.7,-11.8
December,21.8,-20.6
