,Precipitation,Temperature
January,22.1,-14.1
February,19.4,-13.7
March,13.8,-9.2
April,17.5,-3.0
May,33.5,3.7
June,58.5,9.9
July,71.5,13.4
August,64.8,11.1
September,42.4,6.0
October,31.3,-1.2
November,24.4,-8.4
December,25.0,-11.8
