,Precipitation,Temperature
January,39.0,-6.8
February,28.6,-7.0
March,33.1,-4.0
April,24.2,0.4
May,25.9,5.5
June,38.9,10.1
July,50.3,13.7
August,47.1,12.3
September,37.3,8.2
October,45.1,2.3
November,31.6,-2.8
December,37.2,-4.9
