,Precipitation,Temperature
January,123.2,1.9
February,99.1,1.4
March,94.1,3.3
April,55.7,6.7
May,44.0,9.9
June,56.2,12.7
July,55.3,15.0
August,66.7,14.6
September,89.9,11.7
October,99.0,7.7
November,105.2,4.8
December,123.1,2.2
