,glp_hPa,slp_hPa,precip-accum_mm,precip-hourmax_mm,precip-10minmax_mm,temp_C,temp-max_C,temp-min_C,rh_percent,rh-min_percent,wspd_ms,wspd-max_ms,wdir-max_deg,wspd-max-inst_ms,wdir-max-inst_deg,sunlit_h,snowfall-accum_cm,snowdepth-accum_cm,WeaCon-day6-18_x,WeaCon-night18-n6_x
1960-01-01,,,0.6,-999.0,-999.0,6.4,9.5,3.8,90,63,2.8,6.1,0.0,7.0,0.0,,,,,
1960-01-02,,,,,,4.0,9.3,-3.5,76,33,2.5,4.2,112.5,5.0,112.5,,,,,
1960-01-03,,,,,,2.7,10.9,-5.6,83,44,1.7,3.4,90.0,4.9,0.0,,,,,
1960-01-04,,,,,,4.0,12.1,-1.8,86,55,1.9,3.4,292.5,4.1,315.0,,,,,
1960-01-05,,,,,,8.4,18.9,-3.5,75,45,4.3,11.2,202.5,15.6,202.5,,,,,
1960-01-06,,,,,,4.8,10.3,-2.3,47,27,3.5,9.4,292.5,12.9,292.5,,,,,
1960-01-07,,,,,,3.6,9.1,-1.8,51,32,3.5,7.4,292.5,10.6,292.5,,,,,
1960-01-08,,,,,,2.1,10.1,-3.8,71,38,2.1,5.7,315.0,7.0,315.0,,,,,
1960-01-09,,,,,,1.9,10.5,-5.6,75,30,1.7,3.0,67.5,3.3,202.5,,,,,
1960-01-10,,,,,,4.8,12.3,-3.8,75,47,2.1,3.8,292.5,4.0,292.5,,,,,
1960-01-11,,,,,,6.8,14.1,-0.4,73,45,2.9,7.8,292.5,10.5,292.5,,,,,
1960-01-12,,,,,,5.9,10.1,0.0,50,29,3.4,5.4,292.5,7.0,292.5,,,,,
1960-01-13,,,0.6,0.6,0.3,2.9,9.9,-5.0,67,33,2.7,6.3,337.5,9.8,337.5,,,,,
1960-01-14,,,,,,3.5,8.3,-0.8,82,66,2.1,3.6,337.5,4.0,315.0,,,,,
1960-01-15,,,3.3,1.7,0.4,4.0,11.7,-4.2,73,36,3.0,8.0,67.5,9.6,67.5,,,,,
1960-01-16,,,19.2,6.8,1.8,2.2,3.7,0.9,88,67,4.5,9.3,315.0,12.9,90.0,,,,,
1960-01-17,,,,,,3.7,6.9,0.8,61,34,7.2,14.2,292.5,19.0,292.5,,,,,
1960-01-18,,,,,,2.7,6.5,-1.5,48,31,5.5,10.5,292.5,14.1,270.0,,,,,
1960-01-19,,,,,,2.8,6.2,-2.0,60,45,2.8,5.7,270.0,7.8,270.0,,,,,
1960-01-20,,,,,,1.0,6.5,-6.0,77,41,1.6,4.0,90.0,5.0,90.0,,,,,
1960-01-21,,,,,,1.6,12.1,-6.8,72,31,3.7,8.9,315.0,13.2,315.0,,,,,
1960-01-22,,,,,,1.9,7.1,-7.7,57,28,2.9,8.4,315.0,11.4,315.0,,,,,
1960-01-23,,,,,,0.9,5.9,-5.3,65,34,1.7,4.6,337.5,6.0,337.5,,,,,
1960-01-24,,,,,,-1.7,2.9,-6.2,52,27,5.7,11.7,315.0,16.4,292.5,,,,,
1960-01-25,,,,,,-0.4,6.3,-11.9,46,28,4.5,10.5,292.5,14.0,270.0,,,,,
1960-01-26,,,,,,1.3,9.7,-6.8,60,32,2.4,5.9,180.0,8.1,180.0,,,,,
1960-01-27,,,,,,2.4,7.1,-4.2,49,24,4.6,8.2,292.5,11.0,292.5,,,,,
1960-01-28,,,,,,0.8,4.9,-8.2,48,29,5.5,11.5,292.5,13.0,292.5,,,,,
1960-01-29,,,,,,2.8,7.7,-4.8,37,25,6.1,11.8,292.5,15.3,292.5,,,,,
1960-01-30,,,,,,2.1,10.1,-1.8,53,29,1.8,6.1,315.0,8.2,315.0,,,,,
1960-01-31,,,,,,2.6,11.8,-5.6,69,30,1.9,4.4,247.5,5.6,247.5,,,,,
