,glp_hPa,slp_hPa,precip-accum_mm,precip-hourmax_mm,precip-10minmax_mm,temp_C,temp-max_C,temp-min_C,rh_percent,rh-min_percent,wspd_ms,wspd-max_ms,wdir-max_deg,wspd-max-inst_ms,wdir-max-inst_deg,sunlit_h,snowfall-accum_cm,snowdepth-accum_cm,WeaCon-day830-17_x,xxx
2007-03-31,1020.6,1024.5,,,,4.9,13.8,-3.4,53,21,1.8,4.4,112.5,8.0,270.0,10.6,,,,
2007-04-01,1021.1,1025.0,,,,5.3,13.1,-3.2,61,30,1.7,4.1,90.0,6.7,90.0,8.3,,,,
2007-04-02,1019.8,1023.6,,,,10.0,15.2,4.0,72,57,1.8,3.3,90.0,6.2,225.0,0.6,,,,
2007-04-03,1017.4,1021.2,,,,12.0,19.4,5.9,83,52,2.4,5.0,90.0,11.0,67.5,6.4,,,,
2007-04-04,1004.2,1007.9,3.5,3.0,1.0,15.5,19.3,9.7,81,59,5.6,9.9,202.5,23.1,202.5,0.4,,,,
2007-04-05,997.4,1001.1,0.0,0.0,0.0,10.1,16.9,3.5,74,38,3.0,4.9,45.0,10.3,67.5,0.9,,,,
2007-04-06,1005.4,1009.2,,,,5.9,11.4,2.0,43,21,2.5,5.0,157.5,8.8,157.5,6.0,,,,
2007-04-07,1010.5,1014.3,,,,5.1,13.0,-2.5,61,15,2.4,4.5,315.0,9.3,270.0,10.3,,,,
2007-04-08,1017.7,1021.6,0.0,0.0,0.0,4.9,10.3,-1.7,68,37,2.0,4.3,157.5,7.4,157.5,2.3,,,,
2007-04-09,1016.4,1020.2,,,,8.3,13.9,0.8,66,39,2.6,5.3,157.5,9.2,157.5,7.3,,,,
2007-04-10,999.3,1003.0,12.0,5.0,1.5,8.0,13.4,2.8,67,25,3.8,9.1,315.0,20.3,292.5,4.9,,,,
2007-04-11,1004.4,1008.2,,,,5.3,12.0,-2.8,42,21,4.1,7.5,270.0,16.2,315.0,11.2,,,,
2007-04-12,1006.2,1010.0,,,,6.6,13.5,0.5,35,21,4.3,7.9,292.5,22.3,0.0,10.3,,,,
2007-04-13,1010.7,1014.5,,,,6.6,12.5,0.9,30,14,5.4,9.7,292.5,21.5,315.0,11.2,,,,
2007-04-14,1015.4,1019.3,0.0,0.0,0.0,6.7,12.1,-1.5,38,16,3.0,5.5,315.0,10.7,315.0,7.8,,,,
2007-04-15,1014.7,1018.5,0.0,0.0,0.0,6.6,12.2,3.2,44,30,2.6,4.8,90.0,8.5,135.0,5.5,,,,
2007-04-16,1013.8,1017.6,0.0,0.0,0.0,4.7,9.8,-2.1,45,31,2.1,4.7,112.5,9.7,90.0,3.4,,,,
2007-04-17,1014.2,1018.1,,,,3.3,11.4,-3.9,44,19,2.9,6.6,337.5,15.2,292.5,11.5,,,,
2007-04-18,1014.1,1017.9,,,,5.2,12.2,-4.6,38,16,3.5,7.8,315.0,16.2,315.0,11.3,,,,
2007-04-19,1016.0,1019.8,,,,6.6,14.0,-0.4,39,18,2.4,5.9,270.0,10.3,270.0,10.0,,,,
2007-04-20,1019.7,1023.5,,,,7.1,13.4,-0.1,57,33,2.0,4.0,157.5,8.3,135.0,8.5,,,,
2007-04-21,1016.5,1020.3,2.0,2.0,1.0,8.9,16.9,2.1,74,31,2.4,6.0,202.5,13.7,225.0,8.9,,,,
2007-04-22,1017.3,1021.1,,,,9.3,16.5,0.5,60,23,2.2,5.6,135.0,11.1,135.0,11.1,,,,
2007-04-23,1011.3,1015.0,0.0,0.0,0.0,12.4,16.9,4.3,73,47,3.5,9.2,202.5,18.5,225.0,2.7,,,,
2007-04-24,997.1,1000.7,34.0,10.5,2.5,13.9,17.0,9.2,95,78,3.6,9.0,202.5,20.4,202.5,,,,,
2007-04-25,1006.6,1010.3,,,,12.1,18.8,3.5,66,26,2.3,5.5,180.0,11.6,202.5,10.6,,,,
2007-04-26,1009.2,1012.9,0.0,0.0,0.0,10.4,14.1,4.7,73,56,1.8,3.5,180.0,6.9,202.5,,,,,
2007-04-27,1005.8,1009.5,,,,12.6,20.6,5.6,74,25,2.6,5.9,112.5,11.5,112.5,10.5,,,,
2007-04-28,1004.6,1008.2,,,,16.3,25.6,7.6,61,20,3.7,7.2,67.5,15.1,67.5,10.9,,,,
2007-04-29,1003.4,1007.1,8.5,7.5,2.0,11.8,20.6,5.9,66,27,3.5,8.4,292.5,18.2,292.5,5.0,,,,
2007-04-30,1009.6,1013.3,0.5,0.5,0.5,10.6,15.8,4.2,72,52,2.5,7.8,202.5,16.4,202.5,0.3,,,,
