,glp_hPa,slp_hPa,precip-accum_mm,precip-hourmax_mm,precip-10minmax_mm,temp_C,temp-max_C,temp-min_C,rh_percent,rh-min_percent,wspd_ms,wspd-max_ms,wdir-max_deg,wspd-max-inst_ms,wdir-max-inst_deg,sunlit_h,snowfall-accum_cm,snowdepth-accum_cm,WeaCon-day830-17_x,xxx
1992-06-30,1009.0,1012.6,,,,15.6,20.3,12.0,80,65,2.3,5.1,90.0,9.3,90.0,8.1,,,,
1992-07-01,1009.6,1013.2,,,,18.5,26.3,10.3,79,45,1.9,4.8,157.5,8.4,135.0,11.4,,,,
1992-07-02,1009.9,1013.5,,,,20.5,28.2,13.0,75,33,2.0,4.9,157.5,8.7,157.5,11.8,,,,
1992-07-03,1008.1,1011.6,,,,20.2,26.1,13.8,78,52,2.4,5.9,90.0,9.6,90.0,11.7,,,,
1992-07-04,1004.8,1008.4,0.0,0.0,0.0,20.9,25.9,15.5,79,53,2.1,5.0,22.5,11.3,22.5,2.9,,,,
1992-07-05,1006.9,1010.5,,,,20.6,26.6,14.7,80,51,2.0,4.6,90.0,7.2,90.0,9.8,,,,
1992-07-06,1007.8,1011.3,0.5,0.5,0.5,20.6,23.2,17.8,90,79,2.6,4.7,135.0,8.2,135.0,,,,,
1992-07-07,1000.8,1004.3,17.5,4.0,1.0,21.6,23.4,20.6,95,84,2.9,6.6,135.0,12.4,135.0,,,,,
1992-07-08,1004.5,1008.0,0.0,0.0,0.0,20.7,24.1,16.4,81,63,2.6,5.4,90.0,9.0,112.5,0.8,,,,
1992-07-09,1012.8,1016.4,,,,16.6,19.1,14.8,85,73,3.2,4.7,90.0,9.2,112.5,0.4,,,,
1992-07-10,1005.3,1008.9,0.5,0.5,0.5,19.5,23.6,15.3,89,74,2.3,5.2,135.0,10.1,135.0,0.2,,,,
1992-07-11,1001.1,1004.7,0.0,0.0,0.0,21.1,24.9,17.9,74,56,2.7,5.0,112.5,8.9,112.5,4.9,,,,
1992-07-12,1006.4,1010.0,,,,19.3,23.4,15.0,71,51,2.1,4.0,180.0,6.2,180.0,1.0,,,,
1992-07-13,1005.9,1009.5,0.0,0.0,0.0,21.1,25.2,15.9,77,58,2.0,5.2,180.0,10.1,180.0,1.6,,,,
1992-07-14,1004.1,1007.7,6.0,3.5,1.0,18.4,20.4,14.0,86,66,2.2,4.2,45.0,8.4,67.5,,,,,
1992-07-15,1006.3,1009.8,0.0,0.0,0.0,18.9,23.0,15.8,69,45,2.9,4.8,112.5,8.4,90.0,9.6,,,,
1992-07-16,1008.5,1012.1,0.0,0.0,0.0,18.3,21.2,15.7,82,56,2.6,4.0,90.0,7.0,90.0,0.4,,,,
1992-07-17,1005.8,1009.4,10.0,2.5,1.0,16.5,18.2,13.7,93,80,2.6,4.2,315.0,8.4,67.5,,,,,
1992-07-18,1010.9,1014.5,0.0,0.0,0.0,16.9,20.3,13.1,90,73,2.4,4.5,90.0,7.3,90.0,0.3,,,,
1992-07-19,1009.3,1012.9,23.0,8.0,2.5,16.8,18.0,16.0,95,91,3.2,5.2,45.0,11.3,45.0,,,,,
1992-07-20,1001.6,1005.2,21.0,7.5,3.5,15.7,16.8,14.0,96,91,2.8,6.7,315.0,12.4,315.0,,,,,
1992-07-21,1005.6,1009.1,0.0,0.0,0.0,16.8,20.1,14.0,81,67,3.1,5.7,112.5,11.5,112.5,8.1,,,,
1992-07-22,1006.1,1009.7,7.5,2.5,0.5,14.7,16.5,13.6,90,78,2.4,4.6,45.0,10.4,45.0,,,,,
1992-07-23,999.7,1003.3,24.0,5.0,1.5,15.1,16.6,13.4,94,83,3.5,7.4,45.0,15.9,22.5,,,,,
1992-07-24,1006.4,1010.0,,,,16.9,23.4,13.3,80,58,2.0,5.2,90.0,8.8,90.0,5.6,,,,
1992-07-25,1007.6,1011.2,,,,18.4,25.0,12.6,72,54,2.1,5.3,90.0,8.9,90.0,5.6,,,,
1992-07-26,1010.2,1013.8,,,,18.0,22.9,12.1,71,49,2.0,3.9,90.0,6.0,90.0,4.2,,,,
1992-07-27,1007.1,1010.7,,,,18.9,24.0,14.1,78,60,2.5,4.5,112.5,7.9,112.5,9.1,,,,
1992-07-28,1006.2,1009.7,,,,20.6,27.0,12.8,73,41,2.0,4.4,180.0,7.1,180.0,7.4,,,,
1992-07-29,1003.3,1006.9,33.5,7.5,2.5,18.4,20.1,16.7,93,85,2.8,6.5,45.0,13.8,45.0,,,,,
