,glp_hPa,slp_hPa,precip-accum_mm,precip-hourmax_mm,precip-10minmax_mm,temp_C,temp-max_C,temp-min_C,rh_percent,rh-min_percent,wspd_ms,wspd-max_ms,wdir-max_deg,wspd-max-inst_ms,wdir-max-inst_deg,sunlit_h,snowfall-accum_cm,snowdepth-accum_cm,WeaCon-day830-17_x,xxx
2002-04-30,1010.1,1013.8,,,,12.6,20.2,4.5,70,36,2.3,5.4,180.0,10.3,202.5,11.2,,,,
2002-05-01,1006.5,1010.1,,,,16.0,25.8,7.5,65,20,2.3,4.7,90.0,9.6,67.5,10.2,,,,
2002-05-02,1000.1,1003.7,,0.0,0.0,16.6,24.1,9.3,71,34,2.7,6.1,180.0,11.9,180.0,8.7,,,,
2002-05-03,1002.7,1006.3,1.5,1.5,1.0,13.8,19.0,8.9,39,18,5.6,9.9,0.0,21.5,0.0,9.7,,,,
2002-05-04,1010.9,1014.6,,,,11.2,19.7,3.1,49,17,3.9,6.6,337.5,13.2,0.0,11.7,,,,
2002-05-05,1015.7,1019.5,,0.0,,9.6,16.7,0.6,57,23,2.9,5.5,112.5,11.5,67.5,8.3,,,,
2002-05-06,1009.9,1013.5,3.5,1.5,0.5,12.4,18.8,6.9,85,62,2.0,4.8,180.0,9.6,202.5,2.9,,,,
2002-05-07,1003.4,1006.9,0.0,0.0,0.0,17.5,24.2,12.9,86,61,2.0,4.8,202.5,8.9,180.0,4.5,,,,
2002-05-08,1003.9,1007.5,1.0,0.5,0.5,13.6,17.4,9.3,86,64,3.5,7.5,67.5,15.4,67.5,,,,,
2002-05-09,1013.0,1016.7,0.5,0.5,0.5,10.7,13.3,8.0,74,49,2.5,4.1,90.0,7.3,45.0,,,,,
2002-05-10,1014.8,1018.5,0.5,0.5,0.5,12.3,16.6,8.1,76,45,2.3,4.3,90.0,8.3,135.0,3.9,,,,
2002-05-11,1007.3,1011.0,9.0,2.0,0.5,11.7,15.6,5.4,83,62,2.2,4.8,337.5,8.1,0.0,0.1,,,,
2002-05-12,1009.5,1013.2,0.0,0.0,0.0,10.4,16.5,2.4,76,53,2.2,4.9,337.5,10.5,0.0,6.1,,,,
2002-05-13,1014.6,1018.3,,,,12.4,21.2,3.5,77,41,2.0,4.1,157.5,7.3,135.0,8.2,,,,
2002-05-14,1016.1,1019.7,,,,17.7,26.9,7.7,67,28,3.4,7.7,202.5,15.5,180.0,7.9,,,,
2002-05-15,1012.2,1015.8,0.0,0.0,0.0,20.7,25.1,18.6,67,47,6.6,9.7,202.5,20.9,202.5,5.7,,,,
2002-05-16,1002.7,1006.2,0.0,0.0,0.0,20.3,24.7,12.8,74,63,6.2,11.3,202.5,23.4,202.5,1.9,,,,
2002-05-17,1009.4,1013.0,,,,14.6,18.3,11.7,58,40,2.6,4.0,45.0,8.3,90.0,2.9,,,,
2002-05-18,1020.0,1023.7,,,,13.9,19.8,9.3,49,18,2.2,4.8,112.5,10.8,112.5,9.7,,,,
2002-05-19,1020.9,1024.5,0.0,0.0,0.0,15.0,20.2,9.4,62,37,2.5,5.2,90.0,9.7,90.0,4.1,,,,
2002-05-20,1017.1,1020.7,19.5,5.0,1.5,14.1,17.2,10.6,87,71,2.2,3.3,22.5,6.9,45.0,,,,,
2002-05-21,1017.5,1021.2,2.0,1.5,0.5,15.4,19.8,12.4,81,54,3.7,5.7,45.0,12.4,45.0,0.9,,,,
2002-05-22,1019.5,1023.2,,,,14.6,19.1,11.1,73,49,2.9,4.8,90.0,9.4,112.5,7.1,,,,
2002-05-23,1011.0,1014.7,,,,15.7,23.1,7.4,76,51,2.0,3.7,90.0,6.9,90.0,8.3,,,,
2002-05-24,1010.5,1014.1,0.5,0.5,0.5,14.7,18.4,9.9,76,50,2.5,4.7,22.5,11.2,67.5,0.8,,,,
2002-05-25,1020.0,1023.7,0.0,0.5,0.0,11.0,14.4,9.3,67,51,3.2,5.4,45.0,13.2,45.0,0.1,,,,
2002-05-26,1022.3,1026.1,,,,10.7,15.9,4.4,56,37,3.3,5.8,90.0,11.5,67.5,10.7,,,,
2002-05-27,1021.2,1025.0,,,,10.1,16.6,2.2,63,35,2.5,5.1,112.5,10.7,90.0,11.7,,,,
2002-05-28,1018.7,1022.4,,,,13.2,21.2,2.7,57,20,2.1,4.2,135.0,8.9,157.5,12.1,,,,
2002-05-29,1010.7,1014.3,2.5,1.0,0.5,16.4,19.8,13.1,79,65,3.2,7.2,202.5,15.2,202.5,,,,,
