,glp_hPa,slp_hPa,precip-accum_mm,precip-hourmax_mm,precip-10minmax_mm,temp_C,temp-max_C,temp-min_C,rh_percent,rh-min_percent,wspd_ms,wspd-max_ms,wdir-max_deg,wspd-max-inst_ms,wdir-max-inst_deg,sunlit_h,snowfall-accum_cm,snowdepth-accum_cm,WeaCon-day830-17_x,xxx
2003-03-31,1007.1,1010.9,30.5,10.5,2.5,3.3,7.2,-2.3,81,59,1.4,4.3,315.0,7.5,315.0,0.2,,,,
2003-04-01,997.0,1000.6,7.0,8.5,1.5,8.5,13.7,1.0,54,23,4.6,9.7,315.0,21.5,270.0,7.0,,,,
2003-04-02,995.3,999.0,7.5,6.0,2.0,7.0,13.8,0.7,76,52,1.7,4.0,315.0,8.4,337.5,1.5,,,,
2003-04-03,1004.9,1008.7,0.0,0.0,0.0,3.1,6.8,-2.8,39,21,5.5,10.1,292.5,20.2,315.0,9.5,,,,
2003-04-04,1021.0,1024.8,,,,1.4,7.7,-5.1,55,26,1.8,3.4,0.0,7.5,0.0,8.2,,,,
2003-04-05,1023.2,1027.0,2.0,1.0,0.5,3.3,6.9,-1.9,70,52,2.1,3.7,90.0,7.6,90.0,0.1,,,,
2003-04-06,1000.2,1003.9,36.5,5.0,1.5,6.5,10.7,3.4,94,92,3.5,6.1,315.0,13.3,292.5,,,,,
2003-04-07,996.5,1000.2,0.0,0.0,0.0,8.0,14.6,2.1,57,29,3.5,8.1,270.0,15.3,270.0,5.6,,,,
2003-04-08,1012.9,1016.7,,,,3.9,11.2,-2.2,56,25,2.2,5.6,337.5,11.7,292.5,5.6,,,,
2003-04-09,1020.0,1023.8,,,,2.5,10.1,-4.5,55,22,2.0,4.1,90.0,9.2,292.5,9.1,,,,
2003-04-10,1021.8,1025.7,,,,1.4,8.6,-5.3,48,19,2.2,8.0,337.5,16.3,315.0,9.7,,,,
2003-04-11,1025.0,1028.8,,,,2.2,9.8,-6.0,52,24,1.8,4.3,0.0,8.6,292.5,11.0,,,,
2003-04-12,1024.8,1028.7,,,,2.6,10.1,-5.1,57,24,1.7,4.2,112.5,8.1,135.0,10.8,,,,
2003-04-13,1023.3,1027.1,,,,4.1,10.9,-3.9,67,39,2.1,4.6,135.0,8.4,112.5,9.5,,,,
2003-04-14,1017.4,1021.2,0.0,0.0,0.0,6.2,9.5,3.5,69,56,2.6,3.7,45.0,7.3,45.0,0.3,,,,
2003-04-15,1016.5,1020.3,4.5,2.0,0.5,6.7,13.4,0.2,70,37,2.2,5.0,90.0,8.8,90.0,7.2,,,,
2003-04-16,1010.4,1014.2,4.0,1.0,0.5,3.8,5.9,-0.7,87,73,2.6,5.6,45.0,11.9,45.0,,,,,
2003-04-17,1013.2,1017.0,0.0,0.0,0.0,4.4,9.6,-1.1,71,46,1.9,4.4,90.0,8.5,67.5,3.9,,,,
2003-04-18,1011.1,1014.8,0.0,0.0,0.0,6.4,13.6,0.4,61,19,2.0,4.3,112.5,7.9,292.5,7.1,,,,
2003-04-19,1014.6,1018.3,,,,6.2,12.5,-0.7,41,19,3.7,7.3,292.5,16.1,270.0,10.6,,,,
2003-04-20,1021.8,1025.6,,,,4.9,11.9,-2.0,50,20,2.2,5.6,90.0,10.7,112.5,11.3,,,,
2003-04-21,1022.3,1026.1,0.0,0.0,0.0,5.4,8.1,0.8,67,53,2.5,4.7,67.5,9.6,67.5,,,,,
2003-04-22,1020.4,1024.2,0.0,0.0,0.0,8.2,15.2,-0.1,70,38,1.9,4.3,180.0,7.9,180.0,9.7,,,,
2003-04-23,1016.4,1020.1,0.0,0.0,0.0,12.1,18.4,4.6,64,31,2.6,5.9,180.0,11.1,202.5,10.6,,,,
2003-04-24,1010.3,1014.0,17.5,3.5,1.0,9.3,13.1,8.0,92,74,2.1,4.3,45.0,8.7,45.0,,,,,
2003-04-25,1011.5,1015.2,0.0,0.0,0.0,11.8,18.7,4.1,61,23,2.4,4.8,315.0,9.4,247.5,10.7,,,,
2003-04-26,1004.9,1008.5,0.0,0.0,0.0,13.7,20.1,7.4,67,46,4.3,9.5,202.5,21.6,202.5,6.2,,,,
2003-04-27,1001.3,1004.9,,,,13.0,17.5,9.5,35,18,4.2,7.9,315.0,16.0,292.5,10.9,,,,
2003-04-28,1004.7,1008.4,0.0,0.0,0.0,7.6,12.1,1.9,58,39,2.6,5.4,90.0,11.7,45.0,1.0,,,,
2003-04-29,1011.7,1015.5,,,,6.7,14.6,-1.7,62,36,2.1,4.6,90.0,9.6,112.5,6.7,,,,
2003-04-30,1007.8,1011.4,,,,11.6,21.2,0.4,60,20,1.9,4.7,180.0,9.3,180.0,9.9,,,,
