,glp_hPa,slp_hPa,precip-accum_mm,precip-hourmax_mm,precip-10minmax_mm,temp_C,temp-max_C,temp-min_C,rh_percent,rh-min_percent,wspd_ms,wspd-max_ms,wdir-max_deg,wspd-max-inst_ms,wdir-max-inst_deg,sunlit_h,snowfall-accum_cm,snowdepth-accum_cm,WeaCon-day830-17_x,xxx
2013-11-30,1021.8,1025.1,,,,13.2,20.0,7.2,79,41,,2.6,45.0,4.7,45.0,9.6,,,,
2013-12-01,1021.4,1024.7,0.0,0.0,0.0,13.6,17.8,8.9,88,63,1.4,2.6,45.0,4.0,45.0,0.7,,,,
2013-12-02,1014.0,1017.2,0.0,0.0,0.0,15.4,20.2,11.8,90,64,1.1,2.3,270.0,3.7,315.0,2.7,,,,
2013-12-03,1009.8,1013.0,2.0,1.0,0.5,14.1,18.2,7.7,89,62,1.6,3.9,0.0,7.4,0.0,0.5,,,,
2013-12-04,1020.4,1023.7,,,,10.9,18.5,5.1,77,33,1.4,2.7,0.0,5.1,0.0,10.0,,,,
2013-12-05,1021.3,1024.6,,,,12.1,20.1,4.5,77,38,2.0,5.6,202.5,10.0,180.0,9.3,,,,
2013-12-06,1010.8,1014.1,7.0,2.0,0.5,12.0,16.1,10.0,95,89,1.3,3.2,315.0,5.5,315.0,0.2,,,,
2013-12-07,1017.3,1020.6,,,,12.3,21.1,5.4,75,27,1.7,3.7,292.5,6.5,67.5,9.5,,,,
2013-12-08,1025.3,1028.7,0.0,0.0,0.0,10.6,15.1,5.5,82,60,2.0,4.0,67.5,8.1,90.0,0.6,,,,
2013-12-09,1006.3,1009.6,0.0,0.0,0.0,14.1,21.2,10.6,82,65,2.1,6.5,202.5,12.3,202.5,0.1,,,,
2013-12-10,1004.0,1007.3,2.0,1.0,0.5,9.4,15.9,0.8,71,49,2.4,5.0,337.5,9.4,337.5,1.9,,,,
2013-12-11,1008.1,1011.4,0.0,0.0,0.0,5.0,12.5,-0.5,74,39,1.5,5.0,0.0,8.4,0.0,5.8,,,,
2013-12-12,1013.5,1016.9,,,,5.0,12.2,-0.1,69,32,1.9,4.6,337.5,7.5,315.0,9.4,,,,
2013-12-13,1021.5,1024.9,0.0,0.0,0.0,6.7,13.7,-1.9,73,34,1.4,2.9,90.0,6.1,67.5,8.4,,,,
2013-12-14,1015.6,1019.0,0.5,0.5,0.5,7.9,10.1,5.5,89,73,1.7,4.1,315.0,7.3,337.5,0.0,,,,
2013-12-15,1013.3,1016.7,,,,8.9,16.7,2.7,82,45,1.5,2.9,292.5,4.2,315.0,9.6,,,,
2013-12-16,1008.6,1012.0,,,,10.0,17.7,2.2,81,49,1.5,3.9,180.0,6.9,202.5,9.0,,,,
2013-12-17,1002.6,1005.9,,,,11.1,19.3,4.5,75,37,1.8,5.8,180.0,10.9,180.0,7.8,,,,
2013-12-18,1004.1,1007.5,,,,7.7,15.7,1.9,65,24,1.7,3.1,292.5,5.8,337.5,8.9,,,,
2013-12-19,1006.2,1009.5,,,,7.0,15.9,-0.7,64,23,1.9,3.7,225.0,6.9,247.5,9.5,,,,
2013-12-20,1010.7,1014.1,,,,8.0,16.2,2.7,61,26,2.1,4.6,270.0,8.3,247.5,9.8,,,,
2013-12-21,1012.2,1015.5,0.0,0.0,0.0,7.8,16.8,0.1,69,27,1.9,3.3,202.5,5.5,225.0,9.8,,,,
2013-12-22,1016.9,1020.3,,0.0,,7.2,14.7,0.7,76,38,1.5,2.7,135.0,5.2,67.5,9.7,,,,
2013-12-23,1017.1,1020.5,,,,8.4,16.8,1.5,71,33,1.7,3.7,292.5,5.5,292.5,9.4,,,,
2013-12-24,1009.1,1012.4,4.5,4.5,1.5,11.4,18.8,3.6,78,63,2.5,8.2,202.5,19.1,202.5,0.0,,,,
2013-12-25,1002.3,1005.6,0.0,3.0,0.0,12.3,18.2,7.7,66,31,2.2,6.8,202.5,12.0,202.5,6.8,,,,
2013-12-26,1009.5,1012.9,,,,10.6,15.4,4.0,52,32,2.8,7.5,202.5,13.1,225.0,5.8,,,,
2013-12-27,1003.6,1006.9,,,,9.7,16.3,2.1,64,19,2.0,5.4,292.5,10.9,292.5,2.2,,,,
2013-12-28,1006.2,1009.6,,,,6.0,12.5,-0.9,53,24,2.0,4.9,270.0,8.7,270.0,8.8,,,,
2013-12-29,1013.7,1017.1,,,,6.0,13.3,0.6,59,27,1.8,4.6,337.5,8.3,337.5,9.5,,,,
